date,amount,category,Text
2025-01-07,5.0,Food,
2025-01-08,15.0,Taxi,
2025-01-09,14.0,Taxi,
2025-01-10,1.0,Public transport,
2025-01-10,1.0,Public transport,
2025-01-11,6.0,Food,
2025-01-12,70.0,Other,
2025-01-13,1.0,Food,
2025-01-13,13.0,Food,
2025-01-13,1.0,Public transport,
2025-01-13,1.0,Public transport,
2025-01-14,1.0,Public transport,
2025-01-15,1.0,Public transport,
2025-01-15,1.0,Public transport,
2025-01-15,1.0,Public transport,
2025-01-15,2.0,Food,
2025-01-15,1.0,Public transport,
2025-01-15,1.0,Public transport,
2025-01-16,1.0,Public transport,
2025-01-16,10.0,Taxi,
2025-01-17,9.0,Taxi,
2025-01-17,1.0,Public transport,
2025-01-18,8.0,Gifts,
2025-01-18,170.0,Gifts,
2025-01-18,61.0,Other,
2025-01-18,14.0,Food,
2025-01-20,1.0,Public transport,
2025-01-20,2.0,Public transport,
2025-01-20,2.0,Public transport,
2025-01-20,0.0,Food,
2025-01-21,21.0,Fines,
2025-01-21,6.0,Taxi,
2025-01-22,1.0,Food,
2025-01-22,70.0,Cafe,
2025-01-22,1.0,Public transport,
2025-01-23,55.0,Other,
2025-01-23,210.0,Other,
2025-01-23,0.0,Other,
2025-01-24,12.0,Food,
2025-01-24,1.0,Public transport,
2025-01-24,1.0,Public transport,
2025-01-25,1.0,Public transport,
2025-01-25,0.0,Food,
2025-01-25,1.0,Public transport,
2025-01-27,12.0,Taxi,
2025-01-27,4.0,Taxi,
2025-01-27,31.0,Food,
2025-01-28,1.0,Public transport,
2025-01-28,1.0,Public transport,
2025-01-28,1.0,Public transport,
2025-01-28,2.0,Public transport,
2025-01-28,1.0,Public transport,
2025-01-29,0.0,Food,
2025-01-30,60.0,Other,
2025-01-30,23.0,Health,
2025-01-30,5.0,Public transport,
2025-01-31,1.0,Food,
2025-01-31,42.0,Other,
2025-02-02,5.0,Cafe,
2025-02-03,26.0,Leisure,
2025-02-04,34.0,Cafe,
2025-02-04,48.0,Health,
2025-02-04,2.0,Public transport,
2025-02-04,15.0,Taxi,
2025-02-05,19.0,Other,
2025-02-05,48.0,Other,
2025-02-05,29.0,Other,
2025-02-06,17.0,Cafe,
2025-02-06,4.0,Food,
2025-02-07,1.0,Public transport,
2025-02-07,16.0,Other,
2025-02-07,1.0,Public transport,
2025-02-07,1.0,Public transport,
2025-02-10,8.0,Taxi,
2025-02-11,9.0,Health,
2025-02-13,10.0,University,
2025-02-13,5.0,Public transport,
2025-02-14,5.0,Food,
2025-02-15,6.0,Cafe,
2025-02-15,1.0,Public transport,
2025-02-17,19.0,Health,
2025-02-17,18.0,Health,
2025-02-17,1.0,Public transport,
2025-02-17,5.0,Food,
2025-02-17,13.0,University,
2025-02-18,71.0,Cafe,
2025-02-18,1.0,Public transport,
2025-02-18,10.0,University,
2025-02-18,1.0,Public transport,
2025-02-19,21.0,Food,
2025-02-19,1.0,Public transport,
2025-02-19,8.0,University,
2025-02-19,1.0,Public transport,
2025-02-21,59.0,Loan given,
2025-02-21,18.0,Gifts,
2025-02-21,13.0,Food,
2025-02-22,11.0,Gifts,
2025-02-22,6.0,Cafe,
2025-02-25,1.0,Public transport,
2025-02-25,1.0,Public transport,
2025-02-25,5.0,Cafe,
2025-02-25,1.0,Public transport,
2025-02-26,1.0,Public transport,
2025-02-26,2.0,Public transport,
2025-02-26,1.0,Public transport,
2025-02-26,8.0,Leisure,
2025-02-27,1.0,Public transport,
2025-02-27,1.0,Public transport,
2025-02-27,1.0,Public transport,
2025-02-28,5.0,Food,
2025-02-28,5.0,Cafe,
2025-02-28,1.0,Public transport,
2025-03-01,24.0,Cafe,
2025-03-03,0.0,Public transport,
2025-03-03,1.0,Public transport,
2025-03-03,1.0,Public transport,
2025-03-04,0.0,Gifts,
2025-03-04,5.0,Gifts,
2025-03-04,89.0,Gifts,
2025-03-04,1.0,Public transport,
2025-03-04,1.0,Public transport,
2025-03-04,3.0,Cafe,
2025-03-04,1.0,Public transport,
2025-03-05,1172.0,Loan given,
2025-03-05,1156.0,Other,
2025-03-05,2.0,Cafe,
2025-03-05,11.0,Gifts,
2025-03-05,1.0,Public transport,
2025-03-05,1.0,Public transport,
2025-03-05,8.0,Gifts,
2025-03-06,1.0,Public transport,
2025-03-06,1.0,Public transport,
2025-03-06,1.0,Public transport,
2025-03-07,10.0,Food,
2025-03-07,4.0,Food,
2025-03-07,6.0,Cafe,
2025-03-07,11.0,Taxi,
2025-03-08,10.0,Gifts,
2025-03-09,43.0,Other,
2025-03-10,1.0,Cafe,
2025-03-10,3.0,Cafe,
2025-03-10,1.0,Public transport,
2025-03-11,6.0,Gifts,
