Date,Amount,Category,Text,,,,,,,,,,,
2025-01-01,124.46,Food,Transaction at Taco Bell,,,,,,,,,,,
2025-01-01,1830.5,Transport,Transaction at TSRTC,,,,,,,,,,,
2025-01-01,17697.66,Travel,Transaction at Vistara,,,,,,,,,,,
2025-01-01,4302.17,Grocery,Transaction at BigBazaar,,,,,,,,,,,
2025-01-01,17662.65,Healthcare,Transaction at CloudNine,,,,,,,,,,,
2025-01-01,284.41,Food,Transaction at Cream Stone,,,,,,,,,,,
2025-01-01,241.25,Entertainment,Transaction at Aha,,,,,,,,,,,
2025-01-01,214.49,Transport,Transaction at Uber,,,,,,,,,,,
2025-01-01,312.62,Entertainment,Transaction at Aha,,,,,,,,,,,
2025-01-01,1428.32,Transport,Transaction at Rapido,,,,,,,,,,,
2025-01-01,3039.47,Bills,Transaction at Vodafone Idea,,,,,,,,,,,
2025-01-01,18076.33,Healthcare,Transaction at Aster,,,,,,,,,,,
2025-01-01,128155.58,Electronics,Transaction at Sony Center,,,,,,,,,,,
2025-01-01,3025.08,Grocery,Transaction at More Supermarket,,,,,,,,,,,
2025-01-01,1421.2,Travel,Transaction at Air India,,,,,,,,,,,
2025-01-01,5498.73,Online Shopping,Transaction at Ajio,,,,,,,,,,,
2025-01-01,80349.08,Electronics,Transaction at Samsung Store,,,,,,,,,,,
2025-01-01,1315.41,Bills,Transaction at Vodafone Idea,,,,,,,,,,,
2025-01-01,4198.03,Grocery,Transaction at JioMart,,,,,,,,,,,
2025-01-01,863.68,Transport,Transaction at BMTC,,,,,,,,,,,
2025-01-01,871.02,Entertainment,Transaction at Gaana,,,,,,,,,,,
2025-01-01,2613.78,Grocery,Transaction at DMart,,,,,,,,,,,
2025-01-01,3430.73,Bills,Transaction at TNEB,,,,,,,,,,,
2025-01-02,6757.48,Electronics,Transaction at Dell Exclusive,,,,,,,,,,,
2025-01-02,870.88,Food,Transaction at Taco Bell,,,,,,,,,,,
2025-01-02,15810.41,Travel,Transaction at Air India,,,,,,,,,,,
2025-01-02,4235.13,Grocery,Transaction at Star Bazaar,,,,,,,,,,,
2025-01-02,1310.56,Travel,Transaction at IndiGo,,,,,,,,,,,
2025-01-02,4973.64,Bills,Transaction at Water Board,,,,,,,,,,,
2025-01-02,2700.77,Online Shopping,Transaction at Flipkart,,,,,,,,,,,
2025-01-02,18613.73,Healthcare,Transaction at MedPlus,,,,,,,,,,,
2025-01-02,1400.82,Transport,Transaction at TSRTC,,,,,,,,,,,
2025-01-02,2515.66,Bills,Transaction at Jio Fiber,,,,,,,,,,,
2025-01-02,4933.12,Online Shopping,Transaction at Flipkart,,,,,,,,,,,
2025-01-02,10797.58,Online Shopping,Transaction at Meesho,,,,,,,,,,,
2025-01-02,9301.83,Travel,Transaction at Vistara,,,,,,,,,,,
2025-01-02,3005.39,Grocery,Transaction at DMart,,,,,,,,,,,
2025-01-02,5764.96,Online Shopping,Transaction at Lenskart,,,,,,,,,,,
2025-01-02,3911.64,Clothing,Transaction at Pantaloons,,,,,,,,,,,
2025-01-03,1472.58,Bills,Transaction at Airtel,,,,,,,,,,,
2025-01-03,7445.37,Clothing,Transaction at Pantaloons,,,,,,,,,,,
2025-01-03,140355.9,Electronics,Transaction at Apple Store,,,,,,,,,,,
